titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Responsable volet social,WeltHungerHilfe (Agro Action Allemande),10 Sept 2025,Jean-Rabel,Sciences Humaines et Sociales,Sociologie,Licence,3.0,CDI,"['Bonnes capacités rédactionnelles en français et créole', 'Capacités à travailler en équipe multidisciplinaire et avec des partenaires institutionnels et communautaires', 'Capacités de synthèse et d’élaboration des rapports', 'Capacités de conceptualisation, d’organisation, de coordination, de gestion', 'Expériences dans la gestion des conflits communautaires et la promotion de la cohésion sociale']",https://jobpaw.com/professionals/job-details?idj=17302
Responsable volet contruction,WeltHungerHilfe (Agro Action Allemande),10 Sept 2025,Jean-Rabel,Sciences de l’Ingénieur,Génie Civil,Non précisé,5.0,CDI,"['supervision des chantiers de construction', 'préparation des dossiers techniques', 'connaissance des normes haïtiennes en matière de construction', 'suivi technique', 'contrôle de qualité']",https://jobpaw.com/professionals/job-details?idj=17303
Chargée activités Entrepreneuriat Social,Médecins du Monde Canada,11 Sept 2025,Port-de-Paix,"Management/Gestion, Finance, Comptabilité et Commerce",Entrepreneuriat,Licence,4.0,CDD,"[""Gestion d'entreprise sociale"", 'Capacité de former des personnes et de les accompagner', 'Capacités d’anticipation et de résolution de problèmes', 'Excellente capacité en français à l’oral et à l’écrit', 'Capacités à s’exprimer en créole']",https://jobpaw.com/professionals/job-details?idj=17304
Pédagogique /Artistique – Technologique,SOS Villages d'Enfants Haiti,17 Sept 2025,Santo 17,Sciences de l’Education,Enseignement prescolaire et primaire,Licence,1.0,CDD,"['Maîtrise des approches pédagogiques modernes (actives, différenciées, par projet)', 'Capacité à concevoir et utiliser des évaluations par compétences', 'Intégration des outils numériques et audiovisuels', 'Goût pour l’innovation', 'Travail d’équipe']",https://jobpaw.com/professionals/job-details?idj=17305
Especialista en Finanza,Quala,12 Sept 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,5.0,CDI,"['Gestion de la langue espagnole', ""Gestion d'Excel"", 'Influence et travail en équipe', 'Analyse des problèmes', ""Orientation vers l'atteinte des objectifs""]",https://jobpaw.com/professionals/job-details?idj=17306
Conseiller.ère adjoint.e en sécurité (deputy safety advisor),Brown Consulting Group,16 Sept 2025,Metropolitaine,Sécurité,Sécurité,Licence,2.0,CDD,"['Maîtrise du français et du créole haïtien', 'Excellentes capacités rédactionnelles', 'Bonne compréhension des meilleures pratiques en matière de sécurité des ONG', 'Capacité avérée à développer et à maintenir des relations de travail avec les partenaires', 'Excellentes compétences informatiques']",https://jobpaw.com/professionals/job-details?idj=17307
Chargé(e) Construction - Education en Situation d’urgence,Excellence Centre de Services et d'information S.A.,15 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Psychologie,Licence,2.0,CDD,"[""Expérience de travail dans des postes similaires dans le contexte de l'aide humanitaire"", 'Expérience antérieure de travail dans des contextes complexes et volatils', 'Résultats documentés liés aux responsabilités du poste', 'Connaissance de leurs propres compétences en leadership/profil', ""La maîtrise de l'anglais, tant à l'oral qu'à l'écrit, est souhaitable""]",https://jobpaw.com/professionals/job-details?idj=17308
Assistant(e) de Protection contre la Violence (PcV),Excellence Centre de Services et d'information S.A.,15 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Psychologie,Licence,2.0,CDD,"[""Expérience de travail dans des postes similaires dans le contexte de l'aide humanitaire"", 'Expérience antérieure de travail dans des contextes complexes et volatils', 'Résultats documentés liés aux responsabilités du poste', 'Connaissance de leurs propres compétences en leadership/profil', ""La maîtrise de l'anglais, tant à l'oral qu'à l'écrit, est souhaitable""]",https://jobpaw.com/professionals/job-details?idj=17309
Officier de Protection contre la Violence (PcV),Excellence Centre de Services et d'information S.A.,15 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,3.0,CDD,"[""Expérience de travail dans des postes similaires dans le contexte de l'aide humanitaire."", 'Expérience antérieure de travail dans des contextes complexes et volatils.', 'Résultats documentés liés aux responsabilités du poste.', 'Connaissance de leurs propres compétences en leadership/profil.', ""La maîtrise de l'anglais, tant à l'oral qu'à l'écrit, est souhaitable.""]",https://jobpaw.com/professionals/job-details?idj=17310
Coordonnateur/Coordinatrice Protection contre la Violence,Excellence Centre de Services et d'information S.A.,15 Sept 2025,Port-au-Prince,Sciences Humaines et Sociales,Service Social,Licence,4.0,CDD,"[""Expérience de travail dans des postes similaires dans le contexte de l'aide humanitaire"", 'Expérience antérieure de travail dans des contextes complexes et volatils', 'Résultats documentés liés aux responsabilités du poste', ""La maîtrise de l'anglais, tant à l'oral qu'à l'écrit, est souhaitable"", 'Gestion des environnements peu sûrs']",https://jobpaw.com/professionals/job-details?idj=17311
Plant Manager (Mill Operations Manager),prive,16 Sept 2025,Port-au-Prince,Sciences de l’Ingénieur,Génie Industriel,Licence,10.0,CDI,"['Leadership', ""Connaissance des équipements de meunerie et d'emballage"", 'Gestion du programme ERP', 'Compétences en management de projet', 'Capacité à travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=17312
Do not post - Rédacteurs Multimédia,Et Pourquoi Media,16 Sept 2025,Port-au-Prince,Communication et Journalisme,Communication digitale,Non précisé,,CDI,"['Expérience confirmée en rédaction journalistique ou en production de contenu éditorial', 'Maîtrise de plusieurs formats : articles web, reportages, scripts audio/vidéo, posts réseaux sociaux', 'Excellente plume et capacité d’adaptation du style et du ton selon le support et le public cible', 'Esprit curieux, capable de traiter des sujets variés : reportage, analyse, vulgarisation, narration créative', 'Rigueur professionnelle : recherche approfondie, vérification systématique des informations']",https://jobpaw.com/professionals/job-details?idj=17313
Directeur Financier,prive,18 Sept 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Master,10.0,CDI,"['Superviser et Coordonner la gestion financière', 'Mise en oeuvre de la politique et de la stratégie financière', 'Superviser les équipes en charge des activités', ""Garantir la fiabilité des comptes de l'entreprise"", 'Évaluer les statistiques financières et commerciales']",https://jobpaw.com/professionals/job-details?idj=17314
Comptable,WeltHungerHilfe (Agro Action Allemande),18 Sept 2025,Jean-Rabel,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,4.0,CDI,"['Etudes en comptabilité ou autres disciplines connexes (diplôme)', 'Expérience professionnelle liée au poste : minimum 4 ans dans un poste similaire', 'Expérience de travail avec un logiciel comptable', 'Bonnes compétences de communication orale et écrite en français', 'Bonne connaissance de MS Office et des bases de données']",https://jobpaw.com/professionals/job-details?idj=17315
Comptable-Administrateur.trice,Unité de Santé Internationale,20 Sept 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,10.0,CDI,"['Capacité à travailler sous pression dans un environnement multi disciplinaire et multiculturel', 'Solides compétences analytiques et de résolution de problèmes', 'Compétences en informatique, y compris la capacité d’exploiter la comptabilité informatisée', 'Excellente compétence rationnelle et capacité à travailler en équipe', 'Excellente communication interpersonnelle']",https://jobpaw.com/professionals/job-details?idj=17316
Chef de projet adjoint - Projet SBC II,Expertise France,22 Sept 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Master,5.0,CDD,"['Aptitude avérée dans le suivi des procédures et processus', 'Coordination d’équipes pluridisciplinaires', 'Élaboration de prévisions budgétaires', 'Maîtrise des outils bureautiques', 'Capacité à travailler dans un contexte exigeant']",https://jobpaw.com/professionals/job-details?idj=17317
ICT Systems & Software Manager,Haitian Education and Leadership Program,22 Sept 2025,Petion-Ville,Sciences Informatiques,Sciences Informatiques,Licence,,CDI,"['Familiarity with software development process', 'Experience with CMS (Drupal 7 preferred)', 'Experience with various Programming languages (PHP, Javascript, Python)', 'Strong understanding of IT infrastructure', 'Database administration: SQL, MySQL']",https://jobpaw.com/professionals/job-details?idj=17318
Chargé.e de suivi achats et subventions (H/F) - Projet Poto Mitan (Haïti),Expertise France,23 Sept 2025,Cap-Haitien,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Master,3.0,CDD,"['Rigueur', ""Sens de l'organisation"", 'Capacité à travailler en équipe', 'Bonne maîtrise des procédures administratives', 'Connaissance du créole haïtien']",https://jobpaw.com/professionals/job-details?idj=17319
Un (e) assistant (e) flotte en charge de la saisie et vérification des données,WeltHungerHilfe (Agro Action Allemande),23 Sept 2025,Cap-Haitien,Transport et Logistique,Logistique,Non précisé,1.0,CDI,"['Maîtrise de l’outil informatique (MS Office, bases de données, etc.)', 'Capacité à travailler avec précision et attention aux détails', 'Avoir une très bonne capacité de communication en français et une langue étrangère (un atout)', 'Bonne connaissance des techniques d’organisation et d’optimisation de bureau', 'Intégrité et professionnalisme']",https://jobpaw.com/professionals/job-details?idj=17320
Accountant,Chemonics / GHSC-PSM,23 Sept 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,3.0,CDI,"['Fluency in French', 'Professional proficiency in English', 'Strong computer skills', 'Experience with accounting software', 'Ability to work independently']",https://jobpaw.com/professionals/job-details?idj=17321
Operations Manager,ESG Group S.A.,25 Sept 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Licence,5.0,CDI,"['Gestion des opérations', ""Gestion de la chaîne d'approvisionnement"", ""Gestion de l'inventaire"", 'Compétences en leadership', 'Compétences analytiques']",https://jobpaw.com/professionals/job-details?idj=17322
General Manager,ESG Group S.A.,25 Sept 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Commerce,Master,8.0,CDI,"['P&L management', 'organisation leadership', 'market expansion', 'negotiation', 'communication']",https://jobpaw.com/professionals/job-details?idj=17323
Consultant Vendeur Externe,prive,26 Sept 2025,Port-au-Prince,Marketing,Ventes,Licence,5.0,CDI,"[""Connaissance des phases du processus d'achat"", 'Connaissance des techniques de vente', 'Connaissance des stratégies de communication et persuasion', 'Capacités de négociation', 'Connaissance des principes de customer service']",https://jobpaw.com/professionals/job-details?idj=17324
Controleur avec aptitude en vente,prive,7 Oct 2025,Petion-Ville,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,1.0,CDI,"['Excellent sens du service et de la communication', 'Rigueur', 'Honnêteté', ""Sens de l'organisation"", 'Proactivité']",https://jobpaw.com/professionals/job-details?idj=17325
FAS Assistant,International Committee of Red Cross / Comite International de la Croix-Rouge,1 Oct 2025,Petion-Ville,Sciences Humaines et Sociales,Sciences Humaines,Non précisé,3.0,CDD,"['Créole courant', 'Maîtrise du français', ""Maîtrise de l'anglais ou de l'espagnol/portugais"", 'Maîtrise des outils informatiques (traitements de texte, Excel …)', 'Habilité de travailler sous pression']",https://jobpaw.com/professionals/job-details?idj=17326
Future Hope Manager,Child Hope International,1 Oct 2025,Port-au-Prince,Sciences de l’Education,Sciences de l'Education,Licence,,CDD,"['Experience working with children', 'English', 'French', 'Creole', 'Knowledge of Word']",https://jobpaw.com/professionals/job-details?idj=17327
